Framework,Version,CIS Asset Type,NIST Category,Control ID,Control Description,Custom Mapping Category,Custom Mapping Criteria,Review Req.,Custom Mapping Sub Type,Implementation Market Technologies,Rapid7 Implementation Products (Custom Script),Supporting Market Technologies,Rapid7 Supporting Products (Custom Script),Technical Details,Primary Control Support,Evidence Available,Native R7 Data,3rd Party Data,Type,Implementation Details,Sub-Category,Additional Details,Product API,Delivered
MITRE ATT&CK Mitigations,2026-03-19,Network,,M1037,Filter Network Traffic,,Technology,False,,"CM, AM, Infrastructure",,"EASM, VM, NTA, NSM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, N/A, Surface Command, Vector Command",,"Show Scans, Show Results",Control Supported,Yes,Yes,Automated,,,"Employ network appliances and endpoint software to filter ingress, egress, and lateral network traffic. This includes protocol-based filtering, enforcing firewall rules, and blocking or restricting traffic based on predefined conditions to limit adversary movement and data exfiltration. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-20,Network,,M1035,Limit Access to Resource Over Network,,Technology,False,,"CM, Infrastructure",,"EDR, NSM, NTA","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, N/A, Surface Command, Vector Command",,,Control Supported,Yes,,Automated,,,"Restrict access to network resources, such as file shares, remote systems, and services, to only those users, accounts, or systems with a legitimate business requirement. This can include employing technologies like network concentrators, RDP gateways, and zero-trust network access (ZTNA) models, alongside hardening services and protocols. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-21,Devices,,M1034,Limit Hardware Installation,,Technology,False,,"CM, DS, AM",,"EDR, EPP, SIEM","DSPM Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, N/A, Surface Command, Vector Command",,"Monitoring Enabled, Show Configuration",Control Supported,Partially,No,Automated,,,"Prevent unauthorized users or groups from installing or using hardware, such as external drives, peripheral devices, or unapproved internal hardware components, by enforcing hardware usage policies and technical controls. This includes disabling USB ports, restricting driver installation, and implementing endpoint security tools to monitor and block unapproved devices. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-22,Software,,M1033,Limit Software Installation,,Technology,False,,"AM, CM",,"SIEM, EDR, CAASM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, N/A, Surface Command, Vector Command",,,,,,,,,"Prevent users or groups from installing unauthorized or unapproved software to reduce the risk of introducing malicious or vulnerable applications. This can be achieved through allowlists, software restriction policies, endpoint management tools, and least privilege access principles. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-23,Users,,M1032,Multi-factor Authentication,,Technology,False,,ID,,"EM, CAASM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",,Show Configuration,Control Supported,Yes,Yes,Automated,,,Multi-Factor Authentication (MFA) enhances security by requiring users to provide at least two forms of verification to prove their identity before granting access. These factors typically include:,,
MITRE ATT&CK Mitigations,2026-03-24,Network,,M1031,Network Intrusion Prevention,,Technology,False,,IPS,,,,,,Control Supported,No,Yes,,,,Use intrusion detection signatures to block traffic at network boundaries.,,
MITRE ATT&CK Mitigations,2026-03-25,Network,,M1030,Network Segmentation,,Technology,False,,Infrastructure,,EM,"Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",,Show Configuration,Control Supported,Partially,Yes,Automated,,,"Network segmentation involves dividing a network into smaller, isolated segments to control and limit the flow of traffic between devices, systems, and applications. By segmenting networks, organizations can reduce the attack surface, restrict lateral movement by adversaries, and protect critical assets from compromise.",,
MITRE ATT&CK Mitigations,2026-03-26,Software,,M1028,Operating System Configuration,,Technology,False,,"AM, CM",,"CAASM, EM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, N/A, Surface Command, Vector Command",,"Show Configuration, Show Scans",Control Supported,Yes,Yes,Automated,,,"Operating System Configuration involves adjusting system settings and hardening the default configurations of an operating system (OS) to mitigate adversary exploitation and prevent abuse of system functionality. Proper OS configurations address security vulnerabilities, limit attack surfaces, and ensure robust defense against a wide range of techniques. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-27,Network,,M1060,Out-of-Band Communications Channel,,Technology,False,,,,,,,Deployed Technology,Unsure,,,,,,"Establish secure out-of-band communication channels to ensure the continuity of critical communications during security incidents, data integrity attacks, or in-network communication failures. Out-of-band communication refers to using an alternative, separate communication path that is not dependent on the potentially compromised primary network infrastructure. This method can include secure messaging apps, encrypted phone lines, satellite communications, or dedicated emergency communication systems. Leveraging these alternative channels reduces the risk of adversaries intercepting, disrupting, or tampering with sensitive communications and helps coordinate an effective incident response.",,
MITRE ATT&CK Mitigations,2026-03-28,Users,,M1027,Password Policies,,Technology,False,,"AM, CM",,VM,"Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, N/A, Surface Command, Vector Command",,"Show Scans, Show Configuration",Control Supported,Yes,Partially,Automated,,,"Set and enforce secure password policies for accounts to reduce the likelihood of unauthorized access. Strong password policies include enforcing password complexity, requiring regular password changes, and preventing password reuse. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-29,Devices,,M1056,Pre-compromise,,Technology,False,,"DRP, TIP, GRC, UAT","Cyber GRC Add-On, DRP, DRPS, Intelligence Hub, N/A, Threat Command","CAASM, EASM, EM","Cyber GRC Add-On, DRP, DRPS, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Intelligence Hub, Surface Command, Threat Command, Vector Command",,"Show Scans, Show Configuration",Control Met,Yes,Yes,Automated,,,"Pre-compromise mitigations involve proactive measures and defenses implemented to prevent adversaries from successfully identifying and exploiting weaknesses during the Reconnaissance and Resource Development phases of an attack. These activities focus on reducing an organization's attack surface, identify adversarial preparation efforts, and increase the difficulty for attackers to conduct successful operations. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-30,Users,,M1026,Privileged Account Management,,Technology,False,,"ID, CM",,"CAASM, SIEM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, N/A, Surface Command, Vector Command",,,Control Supported,Yes,Yes,Automated,,,"Privileged Account Management focuses on implementing policies, controls, and tools to securely manage privileged accounts (e.g., SYSTEM, root, or administrative accounts). This includes restricting access, limiting the scope of permissions, monitoring privileged account usage, and ensuring accountability through logging and auditing.This mitigation can be implemented through the following measures:",,
